timestamp,L1.V,L1.P,L1.Q,L1.S,L1.I,L1.PF,F,measure_cons
2022-02-20T01:06:00.000Z,234.7,220.1,128.8,255,1.211,0.863,50.2,220.1
2022-02-20T01:07:00.000Z,235,221.1,133.7,258.3,1.223,0.855,50,221.1
2022-02-20T01:08:00.000Z,235.1,220.2,135.2,258.3,1.222,0.852,50,220.2
2022-02-20T01:09:00.000Z,235.4,220.2,135.7,258.6,1.221,0.851,50,220.2
2022-02-20T01:10:00.000Z,235.3,220.3,135.2,258.4,1.222,0.852,50,220.3
2022-02-20T01:11:00.000Z,234.8,219.9,134.2,257.6,1.22,0.853,50,219.9
2022-02-20T01:12:00.000Z,235.2,219.2,135.1,257.4,1.217,0.851,50,219.2
2022-02-20T01:13:00.000Z,235.4,219.4,136,258.1,1.218,0.85,50,219.4
2022-02-20T01:14:00.000Z,235.6,220.1,136.3,258.8,1.221,0.85,50,220.1
2022-02-20T01:15:00.000Z,235.3,221.3,135.2,259.3,1.225,0.853,49.9,221.3
2022-02-20T01:16:00.000Z,235.3,219.9,136.1,258.6,1.222,0.85,50,219.9
2022-02-20T01:17:00.000Z,235.1,218.8,135.8,257.5,1.218,0.849,50,218.8
2022-02-20T01:18:00.000Z,235.3,219.2,136.3,258,1.219,0.849,50,219.2
2022-02-20T01:19:00.000Z,235.2,219.8,136.1,258.5,1.221,0.85,50,219.8
2022-02-20T01:20:00.000Z,235.2,219.1,135.5,257.6,1.217,0.85,50,219.1
2022-02-20T01:21:00.000Z,233.5,218,130,253.8,1.213,0.859,50,218
2022-02-20T01:22:00.000Z,232.6,217.4,126.1,251.3,1.206,0.865,50,217.4
2022-02-20T01:23:00.000Z,232.5,216.7,127.1,251.1,1.206,0.862,50,216.7
2022-02-20T01:24:00.000Z,232.8,216.8,127.6,251.5,1.207,0.862,50,216.8
2022-02-20T01:25:00.000Z,235,218.7,134.8,256.9,1.215,0.851,50,218.7
2022-02-20T01:26:00.000Z,235.4,220.7,135.4,258.9,1.223,0.852,50,220.7
2022-02-20T01:27:00.000Z,234.8,302,229.4,379.8,1.753,0.797,50,302
2022-02-20T01:28:00.000Z,234.5,333.4,303.4,450.7,1.993,0.739,50,333.4
